,image_url,label
0,age-prediction/20-50/20-50/train/47/134149.jpg,47
1,age-prediction/20-50/20-50/train/47/140644.jpg,47
2,age-prediction/20-50/20-50/train/47/128295.jpg,47
3,age-prediction/20-50/20-50/train/47/174381.jpg,47
4,age-prediction/20-50/20-50/train/47/111248.jpg,47
5,age-prediction/20-50/20-50/train/47/125823.jpg,47
6,age-prediction/20-50/20-50/train/47/111360.jpg,47
7,age-prediction/20-50/20-50/train/47/158647.jpg,47
8,age-prediction/20-50/20-50/train/47/170796.jpg,47
9,age-prediction/20-50/20-50/train/47/134721.jpg,47
10,age-prediction/20-50/20-50/train/47/162489.jpg,47
11,age-prediction/20-50/20-50/train/47/163872.jpg,47
12,age-prediction/20-50/20-50/train/47/171828.jpg,47
13,age-prediction/20-50/20-50/train/47/161015.jpg,47
14,age-prediction/20-50/20-50/train/47/123077.jpg,47
15,age-prediction/20-50/20-50/train/47/159621.jpg,47
16,age-prediction/20-50/20-50/train/47/177699.jpg,47
17,age-prediction/20-50/20-50/train/47/158596.jpg,47
18,age-prediction/20-50/20-50/train/47/131165.jpg,47
19,age-prediction/20-50/20-50/train/47/154288.jpg,47
20,age-prediction/20-50/20-50/train/47/120457.jpg,47
21,age-prediction/20-50/20-50/train/47/171527.jpg,47
22,age-prediction/20-50/20-50/train/47/135472.jpg,47
23,age-prediction/20-50/20-50/train/47/171291.jpg,47
24,age-prediction/20-50/20-50/train/47/133085.jpg,47
25,age-prediction/20-50/20-50/train/47/144146.jpg,47
26,age-prediction/20-50/20-50/train/47/174389.jpg,47
27,age-prediction/20-50/20-50/train/47/115438.jpg,47
28,age-prediction/20-50/20-50/train/47/110409.jpg,47
29,age-prediction/20-50/20-50/train/47/157716.jpg,47
30,age-prediction/20-50/20-50/train/47/149824.jpg,47
31,age-prediction/20-50/20-50/train/47/131809.jpg,47
32,age-prediction/20-50/20-50/train/47/138515.jpg,47
33,age-prediction/20-50/20-50/train/47/150918.jpg,47
34,age-prediction/20-50/20-50/train/47/128005.jpg,47
35,age-prediction/20-50/20-50/train/47/149876.jpg,47
36,age-prediction/20-50/20-50/train/47/130579.jpg,47
37,age-prediction/20-50/20-50/train/47/128473.jpg,47
38,age-prediction/20-50/20-50/train/47/163092.jpg,47
39,age-prediction/20-50/20-50/train/47/164745.jpg,47
40,age-prediction/20-50/20-50/train/47/142526.jpg,47
41,age-prediction/20-50/20-50/train/47/139004.jpg,47
42,age-prediction/20-50/20-50/train/47/124571.jpg,47
43,age-prediction/20-50/20-50/train/47/177847.jpg,47
44,age-prediction/20-50/20-50/train/47/128252.jpg,47
45,age-prediction/20-50/20-50/train/47/144955.jpg,47
46,age-prediction/20-50/20-50/train/47/166115.jpg,47
47,age-prediction/20-50/20-50/train/47/169853.jpg,47
48,age-prediction/20-50/20-50/train/47/163067.jpg,47
49,age-prediction/20-50/20-50/train/47/114774.jpg,47
50,age-prediction/20-50/20-50/train/47/141024.jpg,47
51,age-prediction/20-50/20-50/train/47/130100.jpg,47
52,age-prediction/20-50/20-50/train/47/179340.jpg,47
53,age-prediction/20-50/20-50/train/47/142414.jpg,47
54,age-prediction/20-50/20-50/train/47/139016.jpg,47
55,age-prediction/20-50/20-50/train/47/167254.jpg,47
56,age-prediction/20-50/20-50/train/47/136329.jpg,47
57,age-prediction/20-50/20-50/train/47/147625.jpg,47
58,age-prediction/20-50/20-50/train/47/120996.jpg,47
59,age-prediction/20-50/20-50/train/47/145450.jpg,47
60,age-prediction/20-50/20-50/train/47/120022.jpg,47
61,age-prediction/20-50/20-50/train/47/126427.jpg,47
62,age-prediction/20-50/20-50/train/47/127304.jpg,47
63,age-prediction/20-50/20-50/train/47/175149.jpg,47
64,age-prediction/20-50/20-50/train/47/142210.jpg,47
65,age-prediction/20-50/20-50/train/47/134426.jpg,47
66,age-prediction/20-50/20-50/train/47/123616.jpg,47
